description,test_accuracy,test_f1_score,test_precision,test_recall,fit_time,score_time,train_f1_weighted,train_recall_weighted,train_precision_weighted,train_accuracy,method-encoding,task
SVC,0.990836197021764,0.9908249159672275,0.990872922066178,0.990836197021764,0.7400763034820557,0.2782272815704346,0.9933657655912168,0.9933697110384226,0.9933971543155456,0.9933697110384226,NLP_prottrans_seqvec,hydrophobins
KNN,0.9845360824742267,0.9845185355036276,0.9845979163885276,0.9845360824742267,0.0305705547332763,0.7102540493011474,0.9854936414525972,0.985513332629897,0.9855521775270316,0.985513332629897,NLP_prottrans_seqvec,hydrophobins
GausianNB,0.9381443298969072,0.940295952872258,0.9457829188144062,0.9381443298969072,0.0636461734771728,0.0360366821289062,0.9368419180474624,0.9332177688005908,0.9454382685043085,0.9332177688005908,NLP_prottrans_seqvec,hydrophobins
DT,0.95475372279496,0.9546754957143062,0.954637283553673,0.95475372279496,3.4327342033386232,0.0238238334655761,0.9530319862631832,0.9531020032860524,0.9532544255550974,0.9531020032860524,NLP_prottrans_seqvec,hydrophobins
bagging,0.9736540664375716,0.973573112834388,0.9736243505355648,0.9736540664375716,5.009112930297851,0.1360266208648681,0.9737815153877348,0.9739732593720324,0.973900860718727,0.9739732593720324,NLP_prottrans_seqvec,hydrophobins
RF,0.9845360824742267,0.984532196213422,0.9846158901845904,0.9845360824742267,1.794484567642212,0.2281455516815185,0.9856611773439063,0.9857581284575148,0.9858774747973283,0.9857581284575148,NLP_prottrans_seqvec,hydrophobins
Adaboost,0.9713631156930126,0.9712855218210418,0.9718008906803498,0.9713631156930126,19.73931922912597,0.0783074855804443,0.9671748007572624,0.9675889721288496,0.9677078796078932,0.9675889721288496,NLP_prottrans_seqvec,hydrophobins
GradientBoostingClassifier,0.9868270332187858,0.9868201992515984,0.9868224056400212,0.9868270332187858,191.31579608917235,0.0216950893402099,0.989184398456163,0.989196726006542,0.9893205809369914,0.989196726006542,NLP_prottrans_seqvec,hydrophobins
SVC,0.8447880870561283,0.8416183222099116,0.8522886296220765,0.8447880870561283,6.314427042007447,0.952007532119751,0.8464581120415515,0.850720238955533,0.8575319509140081,0.850720238955533,Property_Group_2,hydrophobins
KNN,0.7720504009163803,0.7767539362560748,0.7889004299613985,0.7720504009163803,0.0205582380294799,0.0698372840881347,0.7874766351489687,0.7792714505949799,0.8124869220360094,0.7792714505949799,Property_Group_2,hydrophobins
GausianNB,0.4163802978235968,0.260936982876122,0.7280529106294432,0.4163802978235968,0.059575867652893,0.0148553133010864,0.2411260570859183,0.3994616274028039,0.2187165305825659,0.3994616274028039,Property_Group_2,hydrophobins
DT,0.8178694158075601,0.8173561456118636,0.8175594838486667,0.8178694158075601,0.3718823671340942,0.0128241062164306,0.8199637082096519,0.8197776653659007,0.820820087346711,0.8197776653659007,Property_Group_2,hydrophobins
bagging,0.8699885452462772,0.8697310685182122,0.8737177514996569,0.8699885452462772,0.9874369382858276,0.1372091054916381,0.8608770237866196,0.861525629907983,0.8650809955880225,0.861525629907983,Property_Group_2,hydrophobins
RF,0.8837342497136311,0.8832038477040083,0.8876791843621272,0.8837342497136311,0.5689251899719239,0.0283181190490722,0.8789767419257026,0.8804282892518186,0.8844133738238531,0.8804282892518186,Property_Group_2,hydrophobins
Adaboost,0.7703321878579611,0.7692633149319904,0.7721142952662898,0.7703321878579611,2.2207284688949587,0.0346298694610595,0.7765892203781609,0.778044153779448,0.7785224584904478,0.778044153779448,Property_Group_2,hydrophobins
GradientBoostingClassifier,0.8997709049255441,0.8994076709643686,0.9014974004381012,0.8997709049255441,26.78812618255615,0.0155863285064697,0.8892010945919843,0.8902508792214675,0.8919358952758009,0.8902508792214675,Property_Group_2,hydrophobins
SVC,0.8946162657502864,0.8943498250239108,0.8974957820834716,0.8946162657502864,3.629222226142884,0.4012768745422363,0.8822635920646951,0.8833736811677989,0.8875900172108354,0.8833736811677989,FFT_Group_7,hydrophobins
KNN,0.8596792668957618,0.8579555641039979,0.8679081040739889,0.8596792668957618,0.0145828485488891,0.0642991304397583,0.8400088537302487,0.8421291612468084,0.851775090477964,0.8421291612468084,FFT_Group_7,hydrophobins
GausianNB,0.6695303550973654,0.6528114582162843,0.691656762252515,0.6695303550973654,0.0492717742919921,0.0129088878631591,0.6741534282261854,0.688918798477622,0.704682431447267,0.688918798477622,FFT_Group_7,hydrophobins
DT,0.7256586483390607,0.7245698065554037,0.7245613256325837,0.7256586483390607,6.314438223838806,0.0122516870498657,0.7362589025658102,0.7363142554319025,0.737560047285388,0.7363142554319025,FFT_Group_7,hydrophobins
bagging,0.8167239404352806,0.8152392975969921,0.8209903610412034,0.8167239404352806,11.96144425868988,0.131605052947998,0.8058457943965204,0.8082520354579179,0.8116821409186887,0.8082520354579179,FFT_Group_7,hydrophobins
RF,0.8413516609392898,0.8388827501892359,0.8501915298125721,0.8413516609392898,2.764405870437622,0.0280534029006958,0.835656441409616,0.8396703521703521,0.847513626176357,0.8396703521703521,FFT_Group_7,hydrophobins
Adaboost,0.7313860252004581,0.7288319999504667,0.7409291997124207,0.7313860252004581,21.55852370262146,0.0321196794509887,0.7285454761101573,0.7306661608132196,0.7343127185070203,0.7306661608132196,FFT_Group_7,hydrophobins
GradientBoostingClassifier,0.8505154639175257,0.8497369359052772,0.85701802078367,0.8505154639175257,315.91045889854433,0.0160539388656616,0.850928985165752,0.852431709784651,0.8556980177809048,0.852431709784651,FFT_Group_7,hydrophobins
SVC,0.9776632302405498,0.9776506543622367,0.9779186152045488,0.9776632302405498,0.9780147075653076,0.2504379272460937,0.9769114501866576,0.9769207579023528,0.976986723064749,0.9769207579023528,NLP_plusrnn,hydrophobins
KNN,0.9702176403207332,0.9701938698729168,0.9708555396925894,0.9702176403207332,0.0200363159179687,0.4349822998046875,0.966313799737184,0.9663643900453718,0.9664046447118788,0.9663643900453718,NLP_plusrnn,hydrophobins
GausianNB,0.9049255441008018,0.9061139739136904,0.9086724476709253,0.9049255441008018,0.0451340198516845,0.0201523303985595,0.8962536388914255,0.8929575978655734,0.9045684288661088,0.8929575978655734,NLP_plusrnn,hydrophobins
DT,0.9427262313860252,0.9427558500932144,0.9431624456713936,0.9427262313860252,1.823244380950928,0.0147820949554443,0.9313333284913184,0.93125518156193,0.9316793167825936,0.93125518156193,NLP_plusrnn,hydrophobins
bagging,0.963344788087056,0.9633006287861484,0.963428625682294,0.963344788087056,1.9602033615112304,0.1148142337799072,0.958894715385636,0.9589991106555524,0.9590458273943334,0.9589991106555524,NLP_plusrnn,hydrophobins
RF,0.9713631156930126,0.9713346796353002,0.9718668824791824,0.9713631156930126,0.7531647205352783,0.031938886642456,0.9738524242787922,0.9739732593720324,0.9742258693975656,0.9739732593720324,NLP_plusrnn,hydrophobins
Adaboost,0.9513172966781214,0.9512388621741912,0.9518947799338938,0.9513172966781214,6.446093368530273,0.0519058227539062,0.9453001880829356,0.9457448636589744,0.9463073766016432,0.9457448636589744,NLP_plusrnn,hydrophobins
GradientBoostingClassifier,0.9730813287514318,0.9730691953796646,0.973311620789616,0.9730813287514318,162.63943395614623,0.0404888153076171,0.979068493705792,0.9791299498047964,0.9792365661583836,0.9791299498047964,NLP_plusrnn,hydrophobins
SVC,0.9369988545246276,0.9340838629112748,0.9394428573561204,0.9369988545246276,0.9139402866363524,0.3809010505676269,0.9386864638839104,0.9405809378815514,0.941094403648177,0.9405809378815514,NLP_prottrans_word2vec,hydrophobins
KNN,0.9690721649484536,0.9690316890800956,0.9691307740039627,0.9690721649484536,0.0106001377105712,0.4725654602050781,0.9643631263550002,0.9643954718801344,0.9646508216943944,0.9643954718801344,NLP_prottrans_word2vec,hydrophobins
GausianNB,0.918098510882016,0.9199491528171252,0.9268376642340908,0.918098510882016,0.0272981643676757,0.0139792919158935,0.9125451807346008,0.9098931279299376,0.92201687604473,0.9098931279299376,NLP_prottrans_word2vec,hydrophobins
DT,0.9238258877434136,0.9238443942429632,0.9238657880859048,0.9238258877434136,0.7402158260345459,0.0119767189025878,0.9246395800541816,0.9246245911276588,0.924970545974457,0.9246245911276588,NLP_prottrans_word2vec,hydrophobins
bagging,0.9581901489117984,0.9580286358705709,0.9581409276529947,0.9581901489117984,0.9436706066131592,0.1234132289886474,0.959120855264964,0.9592393843927584,0.9594435983551776,0.9592393843927584,NLP_prottrans_word2vec,hydrophobins
RF,0.9719358533791524,0.9718693884619944,0.9723544612621996,0.9719358533791524,0.5587517261505127,0.0300489425659179,0.968466190659569,0.9685717731116504,0.9688338751350348,0.9685717731116504,NLP_prottrans_word2vec,hydrophobins
Adaboost,0.9329896907216496,0.9328088203594616,0.9332732157845824,0.9329896907216496,3.1009223461151123,0.0308202743530273,0.929063806591416,0.9292847560332224,0.92979252659435,0.9292847560332224,NLP_prottrans_word2vec,hydrophobins
GradientBoostingClassifier,0.9719358533791524,0.971896762002733,0.9720720640379562,0.9719358533791524,49.38783144950867,0.0152913570404052,0.9758824826876064,0.9759364495560814,0.9760019822369206,0.9759364495560814,NLP_prottrans_word2vec,hydrophobins
SVC,0.9627720504009164,0.962432494845717,0.9628293112070156,0.9627720504009164,0.7405540466308593,0.2523753643035888,0.9561039052023812,0.9565402993623852,0.9561739506971364,0.9565402993623852,NLP_glove,hydrophobins
KNN,0.967926689576174,0.9678687713389238,0.9678506877094954,0.967926689576174,0.0112307548522949,0.418374490737915,0.963825224505307,0.9639070861156752,0.9638980680586118,0.9639070861156752,NLP_glove,hydrophobins
GausianNB,0.9054982817869416,0.9074071044281476,0.9135274371367696,0.9054982817869416,0.0212872982025146,0.0137699127197265,0.8947838194209161,0.891726081910131,0.9053163945617988,0.891726081910131,NLP_glove,hydrophobins
DT,0.9306987399770904,0.9306535934902436,0.9307282739035194,0.9306987399770904,1.1406970500946043,0.0125977039337158,0.9316922966373896,0.931745376162554,0.9319586832579704,0.931745376162554,NLP_glove,hydrophobins
bagging,0.9576174112256588,0.9575452632703796,0.957687248738534,0.9576174112256588,1.2885769367218018,0.1232949256896972,0.956890900851007,0.9570298910176211,0.957127988531066,0.9570298910176211,NLP_glove,hydrophobins
RF,0.9742268041237112,0.974201619125374,0.9743026763172796,0.9742268041237112,0.6881829261779785,0.0313204288482666,0.9702229682278766,0.970288660104611,0.9704187373204136,0.970288660104611,NLP_glove,hydrophobins
Adaboost,0.93184421534937,0.931079679257639,0.9341985982421516,0.93184421534937,4.2846596240997314,0.0303266048431396,0.935818731350385,0.9361640614401352,0.9367280416072186,0.9361640614401352,NLP_glove,hydrophobins
GradientBoostingClassifier,0.97709049255441,0.9770675755229664,0.9771260461666332,0.97709049255441,65.90788426399232,0.0146314620971679,0.9748937342507904,0.9749539500459748,0.9750406611403027,0.9749539500459748,NLP_glove,hydrophobins
SVC,0.8533791523482245,0.8515538079279963,0.8590714340425897,0.8533791523482245,4.213298797607422,0.5920224189758301,0.8586415476250429,0.8615232210820446,0.8667485704513082,0.8615232210820446,FFT_Group_0,hydrophobins
KNN,0.8138602520045819,0.810554678874067,0.8307515877290382,0.8138602520045819,0.0165822982788085,0.0661827087402343,0.7905938476882151,0.7962229609288431,0.8132192776745233,0.7962229609288431,FFT_Group_0,hydrophobins
GausianNB,0.6529209621993127,0.632561643527965,0.6684491867853347,0.6529209621993127,0.0503950595855712,0.0127892732620239,0.6606537342103962,0.6768987570458159,0.6955750845446766,0.6768987570458159,FFT_Group_0,hydrophobins
DT,0.7147766323024055,0.7138008805312317,0.7136089040804625,0.7147766323024055,5.155726766586303,0.0124444961547851,0.7089042152263835,0.7085645806234042,0.7106167461388571,0.7085645806234042,FFT_Group_0,hydrophobins
bagging,0.7846506300114547,0.7822783910125187,0.79066775616945,0.7846506300114547,12.35455937385559,0.1355491876602172,0.7824564793664892,0.7868881582116877,0.792676296509098,0.7868881582116877,FFT_Group_0,hydrophobins
RF,0.8138602520045819,0.8104364714534111,0.8266462366548714,0.8138602520045819,2.8482924699783325,0.0269236087799072,0.818050102691581,0.8232174688057041,0.8329503457485512,0.8232174688057041,FFT_Group_0,hydrophobins
Adaboost,0.6861397479954181,0.682118614771128,0.6940041738688616,0.6861397479954181,21.53018147945404,0.0323065757751464,0.7091880295939383,0.7127450980392157,0.7142397639931951,0.7127450980392157,FFT_Group_0,hydrophobins
GradientBoostingClassifier,0.8132875143184422,0.8100258352851157,0.8232055761383511,0.8132875143184422,315.63955981731414,0.0158482551574707,0.821118003052008,0.8256841065664595,0.8310009259662031,0.8256841065664595,FFT_Group_0,hydrophobins
SVC,0.8780068728522337,0.8776855644862606,0.880156386021836,0.8780068728522337,3.723102688789368,0.4211390256881714,0.8856070728749762,0.8863208797032325,0.8888812599928141,0.8863208797032325,FFT_Group_3,hydrophobins
KNN,0.8465063001145475,0.8437219847546394,0.8570292847856649,0.8465063001145475,0.0164339780807495,0.0645110130310058,0.8389196198136707,0.8418846654140772,0.8519465514805654,0.8418846654140772,FFT_Group_3,hydrophobins
GausianNB,0.7073310423825888,0.6931655619427328,0.7328894584088504,0.7073310423825888,0.0429124355316162,0.0131425619125366,0.7161438427277977,0.7294364551717493,0.7439456222705763,0.7294364551717493,FFT_Group_3,hydrophobins
DT,0.7348224513172967,0.7344907319177605,0.7345336890711298,0.7348224513172967,6.180506443977356,0.0127978324890136,0.7319366238117118,0.7316465529700824,0.7332725932419896,0.7316465529700824,FFT_Group_3,hydrophobins
bagging,0.8161512027491409,0.8143562934393231,0.8230973619566652,0.8161512027491409,12.23351764678955,0.1296686887741089,0.8011559543153888,0.8043105940164763,0.8098479001591338,0.8043105940164763,FFT_Group_3,hydrophobins
RF,0.8442153493699885,0.8410641969294438,0.852959423823655,0.8442153493699885,2.827384519577026,0.028604769706726,0.8334537718648889,0.8377011369658428,0.8460077693232284,0.8377011369658428,FFT_Group_3,hydrophobins
Adaboost,0.7010309278350515,0.6982510540033475,0.7113221607184632,0.7010309278350515,21.4917263507843,0.0315089702606201,0.7083176825295492,0.7112576480223539,0.7164396451095782,0.7112576480223539,FFT_Group_3,hydrophobins
GradientBoostingClassifier,0.8373424971363116,0.8360941893855312,0.8420107252804635,0.8373424971363116,314.6386591911316,0.0157557249069213,0.8345920887767185,0.8369676494676493,0.8416571607049674,0.8369676494676493,FFT_Group_3,hydrophobins
SVC,0.8843069873997709,0.8835084276733967,0.8885559727500579,0.8843069873997709,4.036074304580689,0.3985520124435425,0.8766554229739599,0.8779730934142698,0.881851342707009,0.8779730934142698,FFT_Group_1,hydrophobins
KNN,0.8373424971363116,0.8365828859455355,0.8461900333109383,0.8373424971363116,0.0151278018951416,0.0654115676879882,0.8310937175301593,0.8310774678421737,0.8405505207630991,0.8310774678421737,FFT_Group_1,hydrophobins
GausianNB,0.6735395189003437,0.6544332618719667,0.6961673899533182,0.6735395189003437,0.0453821182250976,0.0131454944610595,0.6616455220775753,0.6786048080165727,0.6927690555692765,0.6786048080165727,FFT_Group_1,hydrophobins
DT,0.7331042382588774,0.7330874699150265,0.7331690486124669,0.7331042382588774,4.876870703697205,0.0122817516326904,0.7225953987116843,0.7223135568723803,0.724135133472757,0.7223135568723803,FFT_Group_1,hydrophobins
bagging,0.8092783505154639,0.8077652182092422,0.8169803992204177,0.8092783505154639,10.49288763999939,0.1333503007888793,0.7893818436404147,0.7927699089463796,0.7968185493735573,0.7927699089463796,FFT_Group_1,hydrophobins
RF,0.8419243986254296,0.8390239654681003,0.8534473077351713,0.8419243986254296,2.529409885406494,0.0249055385589599,0.8378255763201252,0.8416281254516548,0.8502551066496732,0.8416281254516548,FFT_Group_1,hydrophobins
Adaboost,0.6918671248568156,0.6891540791594815,0.7011951461103502,0.6918671248568156,21.644047093391418,0.0315457105636596,0.713131956314112,0.7154339499927735,0.7189407735598518,0.7154339499927735,FFT_Group_1,hydrophobins
GradientBoostingClassifier,0.8447880870561283,0.8428432928123021,0.8513326767321169,0.8447880870561283,316.4431886434555,0.0158703565597534,0.8399195299874418,0.8421225369754783,0.8454825577844722,0.8421225369754783,FFT_Group_1,hydrophobins
SVC,0.8900343642611683,0.8893935869405984,0.8938752796433324,0.8900343642611683,3.633599734306336,0.4121868133544922,0.8745797116389686,0.8765013007660066,0.8806658736121479,0.8765013007660066,FFT_Group_6,hydrophobins
KNN,0.8396334478808706,0.8388323278094252,0.8461965938313999,0.8396334478808706,0.0162460803985595,0.0727457284927368,0.8292771176585824,0.8308323698029578,0.8414757054429621,0.8308323698029578,FFT_Group_6,hydrophobins
GausianNB,0.6632302405498282,0.6444529527479425,0.6922091892795239,0.6632302405498282,0.0477858066558837,0.0130648612976074,0.663661724088376,0.6800856337621044,0.7024503395407203,0.6800856337621044,FFT_Group_6,hydrophobins
DT,0.722794959908362,0.7216039677867212,0.7210367313085513,0.722794959908362,6.137198948860169,0.012640905380249,0.7329252121231784,0.7328666233077997,0.7344138618800562,0.7328666233077997,FFT_Group_6,hydrophobins
bagging,0.8144329896907216,0.8124745635462071,0.8197402499178879,0.8144329896907216,12.682232451438905,0.1327013492584228,0.8128459005693015,0.8156248494483789,0.8192250437095442,0.8156248494483789,FFT_Group_6,hydrophobins
RF,0.8505154639175257,0.8476044268342755,0.8588194443846926,0.8505154639175257,2.8315932750701904,0.0250839948654174,0.841952524473576,0.8465385171267524,0.8535574335558266,0.8465385171267524,FFT_Group_6,hydrophobins
Adaboost,0.7451317296678122,0.7423855817393873,0.7543685172238943,0.7451317296678122,21.461171293258666,0.0320741891860961,0.7273463811433231,0.7318886399768754,0.7330487424705484,0.7318886399768754,FFT_Group_6,hydrophobins
GradientBoostingClassifier,0.845360824742268,0.8437570515649309,0.8525737918753411,0.845360824742268,314.13804671764376,0.0158400774002075,0.8457496261697919,0.8489967239967239,0.8535957151260314,0.8489967239967239,FFT_Group_6,hydrophobins
SVC,0.9662084765177548,0.9661817120843428,0.966291628671208,0.9662084765177548,0.0718071937561035,0.0308079719543457,0.9581736013779218,0.9582611055003692,0.9583885008556766,0.9582611055003692,NLP_onehot,hydrophobins
KNN,0.9564719358533792,0.956383317914629,0.9565212495657336,0.9564719358533792,0.0026406288146972,0.4532837390899658,0.953756293566052,0.9538418172774,0.9539026368251272,0.9538418172774,NLP_onehot,hydrophobins
GausianNB,0.9261168384879724,0.925938334341367,0.926240011659828,0.9261168384879724,0.0032896518707275,0.0076972961425781,0.8792952720650472,0.8708798480577622,0.9148234296020826,0.8708798480577622,NLP_onehot,hydrophobins
DT,0.9444444444444444,0.9445618671366968,0.9448736876521188,0.9444444444444444,0.0372636795043945,0.0092388153076171,0.9373328021965952,0.9371450535867714,0.9376899148505912,0.9371450535867714,NLP_onehot,hydrophobins
bagging,0.9553264604810996,0.9552514289672625,0.9553977612544746,0.9553264604810996,0.0465551376342773,0.015490436553955,0.9551479624518796,0.9553127025519664,0.9553972664668564,0.9553127025519664,NLP_onehot,hydrophobins
RF,0.9713631156930126,0.9713283237091777,0.9714977386872302,0.9713631156930126,0.1611058712005615,0.0277368545532226,0.96566219018396,0.965870577772418,0.9661040672247416,0.965870577772418,NLP_onehot,hydrophobins
Adaboost,0.9398625429553265,0.939326754654612,0.939650796399744,0.9398625429553265,0.2559552669525146,0.0160701274871826,0.9278972972584428,0.9288030026680334,0.928235834772849,0.9288030026680334,NLP_onehot,hydrophobins
GradientBoostingClassifier,0.968499427262314,0.968406114141242,0.9686045579965132,0.968499427262314,2.5025052070617675,0.0107745170593261,0.9628621734162708,0.9629254910236508,0.9630452675631236,0.9629254910236508,NLP_onehot,hydrophobins
SVC,0.8699885452462772,0.8694208533135753,0.8736559546797525,0.8699885452462772,4.00679132938385,0.471525239944458,0.8750530642052723,0.8760092980681214,0.8790069453428142,0.8760092980681214,FFT_Group_2,hydrophobins
KNN,0.8436426116838488,0.8416577342559742,0.8516093158514397,0.8436426116838488,0.0168049335479736,0.0645726919174194,0.8433925874675042,0.845313026930674,0.8525723956522677,0.845313026930674,FFT_Group_2,hydrophobins
GausianNB,0.6798396334478809,0.6615676343523719,0.7139932970140405,0.6798396334478809,0.044057559967041,0.0131524085998535,0.6686323124305444,0.6879396107337283,0.7101545844676691,0.6879396107337283,FFT_Group_2,hydrophobins
DT,0.7250859106529209,0.7243903473372219,0.7239763709095228,0.7250859106529209,5.572624087333679,0.0123822689056396,0.7294436616648248,0.7291973791973791,0.7303877139092901,0.7291973791973791,FFT_Group_2,hydrophobins
bagging,0.7949599083619702,0.79302997167955,0.8019012215061774,0.7949599083619702,11.306577801704409,0.1322110414505005,0.8040656120292571,0.8080003131473721,0.8121031902782155,0.8080003131473721,FFT_Group_2,hydrophobins
RF,0.8230240549828178,0.8191915594120642,0.8345299232462968,0.8230240549828178,2.7426066398620605,0.0259724378585815,0.8329392277128219,0.8377047502047503,0.8461399088585322,0.8377047502047503,FFT_Group_2,hydrophobins
Adaboost,0.7273768613974799,0.7244899527798984,0.7355604645347416,0.7273768613974799,21.49277350902557,0.0319091796875,0.7314459618852779,0.7350785277255866,0.7396989651686383,0.7350785277255866,FFT_Group_2,hydrophobins
GradientBoostingClassifier,0.8264604810996563,0.8245927502156813,0.8345794521495551,0.8264604810996563,314.8503819704056,0.0159795045852661,0.8330893111259575,0.8357427614780557,0.840462708812845,0.8357427614780557,FFT_Group_2,hydrophobins
SVC,0.8373424971363116,0.8348163445178017,0.8458202879035303,0.8373424971363116,6.582844996452332,1.0251971006393432,0.8366380623535952,0.8404134749722985,0.8478262921112212,0.8404134749722985,Property_Group_1,hydrophobins
KNN,0.7457044673539519,0.7592368221127921,0.808892907530807,0.7457044673539519,0.021023678779602,0.0703797101974487,0.7448458588527682,0.7247615262321144,0.8097536204221228,0.7247615262321144,Property_Group_1,hydrophobins
GausianNB,0.4163802978235968,0.260936982876122,0.7280529106294432,0.4163802978235968,0.0596464157104492,0.0149932622909545,0.2398843768924274,0.3984788264200029,0.1968827603696858,0.3984788264200029,Property_Group_1,hydrophobins
DT,0.8018327605956472,0.8022205200968046,0.803058264553246,0.8018327605956472,0.3097393274307251,0.0131948947906494,0.8073095785798149,0.8070193187840248,0.8084601177042007,0.8070193187840248,Property_Group_1,hydrophobins
bagging,0.8591065292096219,0.8589164270708225,0.862606559636961,0.8591065292096219,0.8425278663635254,0.1304411649703979,0.8552237233218447,0.8558805463217227,0.8588886769728934,0.8558805463217227,Property_Group_1,hydrophobins
RF,0.8711340206185567,0.870646303839497,0.8754967093577527,0.8711340206185567,0.5586609363555908,0.0268988370895385,0.8729672283720747,0.8747826034590741,0.879730500710542,0.8747826034590741,Property_Group_1,hydrophobins
Adaboost,0.7571592210767468,0.7556945058620873,0.7612880088987677,0.7571592210767468,2.2272547483444214,0.0346439361572265,0.7326148362168249,0.7343354049236401,0.7369207392525383,0.7343354049236401,Property_Group_1,hydrophobins
